main_id,st_name,dist,dist_name,start_time,end_time,side,from,to,miles,section,one_way,week_1,week_2,week_3,week_4,week_5,sunday,monday,tuesday,wednesday,thursday,friday,saturday,every_day,year_round,north_end_pilot,timestamp,parent,losta,hista,_ingest_datetime
1210,Halborn St,7,South Dorchester,12:00,16:00,Even,West Selden St,Delhi St,0.109090909090909,,f,f,t,f,t,f,f,f,f,f,t,f,f,f,f,f,2012-02-14 13:36:32+00,HALBO1,0,576,2024-09-12 04:31:41+00
1211,Halborn St,7,South Dorchester,12:00,16:00,Odd,West Selden St,Delhi St,0.109090909090909,,f,t,f,t,f,f,f,f,f,f,t,f,f,f,f,f,2012-02-14 13:36:32+00,HALBO1,0,576,2024-09-12 04:31:41+00
1212,Lawrence St,1S,South End,12:00,16:00,Odd,Berkeley St,Dartmouth St,0.23219696969697,,f,f,t,f,t,f,f,f,f,t,f,f,f,f,f,t,2012-02-14 13:36:32+00,LAWRE3,0,1226,2024-09-12 04:31:41+00
1213,Loring St,5,South Boston,13:00,17:00,Odd,West Seventh St,West Eighth St,0.0731060606060606,,f,t,f,t,f,f,f,t,f,f,f,f,f,f,f,f,2012-02-14 13:36:32+00,LORIN3,0,386,2024-09-12 04:31:41+00
1214,Loring St,5,South Boston,13:00,17:00,Even,West Seventh St,West Eighth St,0.0731060606060606,,f,f,t,f,t,f,f,t,f,f,f,f,f,f,f,f,2012-02-14 13:36:32+00,LORIN3,0,386,2024-09-12 04:31:41+00
1215,Haley St,10R,Roxbury,12:00,16:00,Odd,Harrishof St,Dennison St,0.0541666666666667,,f,t,f,t,f,f,f,f,f,f,f,t,f,f,f,f,2012-02-14 13:36:32+00,HALEY1,0,286,2024-09-12 04:31:41+00
1216,Haley St,10R,Roxbury,12:00,16:00,Even,Harrishof St,Dennison St,0.0541666666666667,,f,f,t,f,t,f,f,f,f,f,f,t,f,f,f,f,2012-02-14 13:36:32+00,HALEY1,0,286,2024-09-12 04:31:41+00
1217,Halifax St,2,Jamaica Plain,12:00,16:00,Odd,South Huntington Ave,Pond View Ave,0.187121212121212,,f,t,f,t,f,f,f,f,f,t,f,f,f,f,f,f,2012-02-14 13:36:32+00,HALIF1,0,988,2024-09-12 04:31:41+00
1218,Halifax St,2,Jamaica Plain,12:00,16:00,Even,South Huntington Ave,Pond View Ave,0.187121212121212,,f,f,t,f,t,f,f,f,f,t,f,f,f,f,f,f,2012-02-14 13:36:32+00,HALIF1,0,988,2024-09-12 04:31:41+00
1219,Homestead St,10R,Roxbury,08:00,12:00,Even,Walnut Ave,Elm Hill Ave,0.461931818181818,,f,f,t,f,t,f,f,f,f,f,f,t,f,f,f,f,2012-02-14 13:36:32+00,HOMES4,0,2439,2024-09-12 04:31:41+00
