main_id,st_name,dist,dist_name,start_time,end_time,side,from,to,miles,section,one_way,week_1,week_2,week_3,week_4,week_5,sunday,monday,tuesday,wednesday,thursday,friday,saturday,every_day,year_round,north_end_pilot,timestamp,parent,losta,hista,_ingest_datetime,normalized_st_name,one_way_bool,week_1_bool,week_2_bool,week_3_bool,week_4_bool,week_5_bool,sunday_bool,monday_bool,tuesday_bool,wednesday_bool,thursday_bool,friday_bool,saturday_bool,every_day_bool,year_round_bool,north_end_pilot_bool,suburb
115,Atkinson St,3,Dorchester,00:01,07:00,none,Southampton St,Topeka St,0.227083333333333,,f,t,t,t,t,t,t,t,t,t,t,t,t,t,t,f,2012-02-29 15:06:53+00,ATKIN2,0.0,1199.0,2024-09-12 04:31:41+00,atkinson st,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,Dorchester
116,Bynner St,2,Jamaica Plain,12:00,16:00,even,Creighton St,South Huntington Ave,0.214393939393939,,f,f,t,f,t,f,f,f,t,f,f,f,f,f,f,f,2016-05-31 14:48:25+00,BYNNE1,0.0,1132.0,2024-09-12 04:31:41+00,bynner st,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,Jamaica Plain
117,Brainerd Rd,4,Allston/Brighton,12:00,16:00,even,Harvard Ave,Gorham St,0.130681818181818,,f,f,t,f,t,f,f,f,f,f,t,f,f,f,f,f,2012-02-14 13:36:32+00,BRAIN2,0.0,690.0,2024-09-12 04:31:41+00,brainerd rd,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,Allston/Brighton
118,Chase St,3,Dorchester,12:00,16:00,odd,Willis St,East Cottage St,0.0634469696969697,,f,t,f,t,f,f,f,f,f,f,f,t,f,f,f,f,2012-02-14 13:36:32+00,CHASE1,0.0,335.0,2024-09-12 04:31:41+00,chase st,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,Dorchester
119,Blakeville St,3,Dorchester,12:00,16:00,even,Bowdoin St,Olney St,0.123484848484848,,f,f,t,f,t,f,f,f,f,t,f,f,f,f,f,f,2013-06-13 19:47:28+00,BLAKE3,0.0,652.0,2024-09-12 04:31:41+00,blakeville st,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,Dorchester
120,Caddy Rd,7,Dorchester,12:00,16:00,even,Sanford St,Monson St,0.0793560606060606,,f,f,t,f,t,f,f,f,f,f,t,f,f,f,f,f,2012-02-14 13:36:32+00,CADDY1,0.0,419.0,2024-09-12 04:31:41+00,caddy rd,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,Dorchester
121,Bentham Rd,3,Dorchester,08:00,12:00,odd,Draper St,Mount Ida Rd,0.0560606060606061,,f,t,f,t,f,f,f,f,f,f,t,f,f,f,f,f,2012-02-14 13:36:32+00,BENTH1,0.0,296.0,2024-09-12 04:31:41+00,bentham rd,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,Dorchester
122,Bennett St,4,Allston/Brighton,08:00,12:00,even,Market St,Oakland St,0.411174242424242,,f,f,t,f,t,f,f,f,t,f,f,f,f,f,f,f,2012-02-14 13:36:32+00,BENNE1,0.0,2171.0,2024-09-12 04:31:41+00,bennett st,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,Allston/Brighton
123,Ashton St,7,Dorchester,08:00,12:00,even,Callender St,Woodrow Ave,0.207954545454545,,f,f,t,f,t,f,f,f,f,f,f,t,f,f,f,f,2012-02-14 13:36:32+00,ASHTO1,0.0,1098.0,2024-09-12 04:31:41+00,ashton st,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,Dorchester
124,Clifford St,10R,Roxbury,08:00,12:00,even,Warren St,Blue Hill Ave,0.23125,,f,t,f,t,f,f,f,f,t,f,f,f,f,f,f,f,2016-11-15 14:24:56+00,CLIFF2,0.0,1221.0,2024-09-12 04:31:41+00,clifford st,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,Roxbury
